"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Web App change password tests","","1","0","0","0","0"
"","Activity Flows availability depending on Event type tests","","0","1","0","0","0"
"","Arbitrary server tests","","0","1","0","0","0"
"","Activity settings and actions tests","","0","1","0","0","0"
"","Items settings tests","","0","1","0","0","0"
"","Web App login and registration tests","","0","4","0","0","0"
"","Items Flow tests (value conditions)","","0","1","0","0","0"
"","Web App login and registration tests: Negative Login tests","","0","1","0","0","0"
"","Items Flow tests (chained and other conditions)","","0","1","0","0","0"
"","Alerts tests","","0","1","0","0","0"
"","Items Flow tests (option conditions)","","0","1","0","0","0"
"","Activity availability depending on Event type tests","","0","1","0","0","0"
"","Web App Activity Flows tests","","0","1","0","0","0"
"","Web App different activity items tests","","0","1","0","0","0"
"","Web App reset password tests: User is able to reset password and login in Web App with a new one","","1","0","0","0","0"
